search  (words in any order)	search  (words in any order)	搜索（词语顺序不限）	搜尋（詞語順序不限）	Suche (Wörter in beliebiger Reihenfolge)	Rechercher (mots dans n’importe quel ordre)	검색(단어 순서는 상관없음)	検索（語順不問）	Buscar (palabras en cualquier orden)	Buscar (palavras em qualquer ordem)	Поиск (слова в любом порядке)	Ara (kelimeler herhangi bir sırada)
name	name	名称	名稱	Name	Nom	이름	名前	Nombre	Nome	Имя	Ad
folder	folder	文件夹	資料夾	Ordner	Dossier	폴더	フォルダー	Carpeta	Pasta	Папка	Klasör
tags	tags	标签	標籤	Tags	Tags	태그	タグ	Etiquetas	Tags	Теги	Etiketler
nothing matches: fewer words, another category, or turn off 'favorites' / 'meshes only' / the tag filters ('clear' resets all).	nothing matches: fewer words, another category, or turn off 'favorites' / 'meshes only' / the tag filters ('clear' resets all).	没有匹配项：试试减少搜索词、更换分类，或关闭“收藏”“仅网格”和标签筛选（“清除”会重置所有筛选）。	找不到相符項目：試著減少搜尋詞、更換分類，或關閉「我的最愛」、「僅網格」與標籤篩選（「清除」會重設所有篩選）。	Keine Treffer: weniger Suchbegriffe, andere Kategorie oder Favoriten-, Mesh- und Tagfilter ausschalten („Leeren“ setzt alles zurück).	Aucun résultat : réduisez les mots, changez de catégorie ou désactivez les favoris, les maillages ou les filtres de tags (« Effacer » réinitialise tout).	일치 항목이 없습니다. 검색어를 줄이거나 다른 카테고리를 선택하고 즐겨찾기/메시/태그 필터를 끄세요(지우기로 모두 초기화).	一致する項目がありません。検索語を減らすかカテゴリを変え、お気に入り／メッシュ／タグのフィルターを解除してください（クリアでリセット）。	Sin coincidencias: usa menos palabras, cambia de categoría o desactiva favoritos, mallas o filtros de etiquetas (limpiar restablece todo).	Nada corresponde: use menos palavras, outra categoria ou filtros de favoritos, malhas ou tags (limpar redefine tudo).	Совпадений нет: сократите запрос, выберите другую категорию или отключите фильтры избранного, мешей и тегов («Очистить» сбрасывает всё).	Eşleşme yok: daha az kelime kullanın, başka kategori seçin veya favori, mesh ve etiket filtrelerini kapatın (Temizle tümünü sıfırlar).
%d results	%d results	%d 个结果	%d 個結果	%d Ergebnisse	%d résultats	결과 %d개	%d 件の結果	%d resultados	%d resultados	Результатов: %d	%d sonuç
%d results%s	%d results%s	%d 个结果%s	%d 個結果%s	%d Ergebnisse%s	%d résultats%s	결과 %d개%s	%d 件の結果%s	%d resultados%s	%d resultados%s	Результатов: %d%s	%d sonuç%s
%d cards per row	%d cards per row	每行 %d 张卡片	每列 %d 張卡片	%d Karten pro Zeile	%d cartes par ligne	한 줄에 카드 %d개	1行に%d枚	%d tarjetas por fila	%d cartões por linha	Карточек в строке: %d	Satır başına %d kart
remove from	remove from	从此收藏集移除：	從此收藏集移除：	Aus dieser Sammlung entfernen:	Retirer de cette collection :	이 컬렉션에서 제거:	このコレクションから削除：	Quitar de esta colección:	Remover desta coleção:	Удалить из этой коллекции:	Bu koleksiyondan kaldır:
add to	add to	添加到收藏集：	加入收藏集：	Zu Sammlung hinzufügen:	Ajouter à la collection :	컬렉션에 추가:	コレクションに追加：	Añadir a colección:	Adicionar à coleção:	Добавить в коллекцию:	Koleksiyona ekle:
add favorite	add favorite	添加收藏	加入我的最愛	Zu Favoriten hinzufügen	Ajouter aux favoris	즐겨찾기에 추가	お気に入りに追加	Añadir a favoritos	Adicionar aos favoritos	Добавить в избранное	Favorilere ekle
remove favorite	remove favorite	取消收藏	移除我的最愛	Aus Favoriten entfernen	Retirer des favoris	즐겨찾기에서 제거	お気に入りから削除	Quitar de favoritos	Remover dos favoritos	Убрать из избранного	Favorilerden kaldır
render preview again	render preview again	重新渲染预览图	重新算繪預覽圖	Vorschaubild neu rendern	Regénérer l’aperçu	미리보기 다시 렌더링	プレビューを再レンダリング	Volver a generar la vista previa	Gerar a pré-visualização novamente	Перерисовать превью	Önizlemeyi yeniden oluştur
prefab	prefab	预制体	預製物件	Prefab	Prefab	프리팹	プレハブ	Prefab	Prefab	Префаб	Prefab
   updating %d / %d	   updating %d / %d	   更新中 %d / %d	   更新中 %d / %d	   Aktualisierung %d / %d	   mise à jour %d / %d	   갱신 %d / %d	   更新中 %d / %d	   actualizando %d / %d	   atualizando %d / %d	   обновление %d / %d	   güncelleniyor %d / %d
Updating existing previews with the improved renderer: %d of %d. Tiles on screen are updated first.	Updating existing previews with the improved renderer: %d of %d. Tiles on screen are updated first.	正在用改进的渲染器更新现有预览：%d / %d。屏幕上的卡片优先更新。	正在以改良的算繪器更新現有預覽：%d / %d。螢幕上的卡片優先更新。	Vorhandene Vorschauen werden mit dem verbesserten Renderer aktualisiert: %d von %d. Sichtbare Kacheln zuerst.	Mise à jour des aperçus existants avec le moteur amélioré : %d sur %d. Les vignettes à l'écran d'abord.	개선된 렌더러로 기존 미리보기를 갱신하는 중: %d / %d. 화면의 타일이 먼저 갱신됩니다.	改良したレンダラーで既存のプレビューを更新中: %d / %d。画面上のタイルが先に更新されます。	Actualizando las vistas previas existentes con el renderizador mejorado: %d de %d. Primero las tarjetas en pantalla.	Atualizando as pré-visualizações existentes com o renderizador melhorado: %d de %d. Os cartões na tela primeiro.	Обновление существующих превью улучшенным рендерером: %d из %d. Сначала карточки на экране.	Mevcut önizlemeler geliştirilmiş işleyiciyle güncelleniyor: %d / %d. Önce ekrandaki kartlar.
preview quality	preview quality	预览质量	預覽品質	Vorschau-Qualität	Qualité des aperçus	미리보기 품질	プレビュー品質	Calidad de vista previa	Qualidade da pré-visualização	Качество превью	Önizleme kalitesi
base colour (fastest)	base colour (fastest)	基础颜色（最快）	基礎顏色（最快）	Grundfarbe (am schnellsten)	Couleur de base (le plus rapide)	기본 색상 (가장 빠름)	基本色（最速）	Color base (lo más rápido)	Cor base (mais rápido)	Базовый цвет (быстрее всего)	Temel renk (en hızlı)
+ dye colours	+ dye colours	+ 染色	+ 染色	+ Färbung	+ teintures	+ 염색	+ 染色	+ tintes	+ tingimentos	+ окраска	+ boya renkleri
+ normal maps	+ normal maps	+ 法线贴图	+ 法線貼圖	+ Normal-Maps	+ normal maps	+ 노멀 맵	+ ノーマルマップ	+ mapas normales	+ normal maps	+ карты нормалей	+ normal haritaları
+ specular and glow (best)	+ specular and glow (best)	+ 高光与发光（最佳）	+ 高光與發光（最佳）	+ Glanz und Leuchten (am besten)	+ reflets et lueur (le meilleur)	+ 반사광과 발광 (최고)	+ 光沢と発光（最高）	+ brillo y resplandor (lo mejor)	+ brilho e emissão (melhor)	+ блики и свечение (лучшее)	+ parlaklık ve ışıma (en iyi)
previews on screen are always rendered first; a lower level only makes the background pass faster. Applies to new previews, right-click a tile to render it again	previews on screen are always rendered first; a lower level only makes the background pass faster. Applies to new previews, right-click a tile to render it again	屏幕上的预览总是优先渲染；较低的级别只会加快后台渲染。仅对新预览生效，右键单击卡片可重新渲染	螢幕上的預覽一律優先算繪；較低的等級只會加快背景算繪。僅對新預覽生效，在卡片上按右鍵可重新算繪	Sichtbare Vorschauen werden immer zuerst gerendert; eine niedrigere Stufe beschleunigt nur den Hintergrund-Durchlauf. Gilt für neue Vorschauen, Rechtsklick auf eine Kachel rendert sie neu	Les aperçus à l'écran sont toujours rendus en premier ; un niveau plus bas accélère seulement le rendu en arrière-plan. S'applique aux nouveaux aperçus, clic droit sur une vignette pour la régénérer	화면의 미리보기는 항상 먼저 렌더링됩니다. 낮은 단계는 백그라운드 렌더링만 빠르게 합니다. 새 미리보기에 적용되며, 타일을 우클릭하면 다시 렌더링합니다	画面上のプレビューは常に優先して描画されます。低いレベルはバックグラウンド処理を速くするだけです。新しいプレビューに適用され、タイルを右クリックすると再描画します	Las vistas previas en pantalla siempre se generan primero; un nivel más bajo solo acelera el proceso en segundo plano. Se aplica a vistas nuevas; clic derecho en una tarjeta para regenerarla	As pré-visualizações na tela são sempre geradas primeiro; um nível mais baixo só acelera o processo em segundo plano. Vale para novas pré-visualizações; clique com o botão direito num cartão para gerá-lo de novo	Превью на экране всегда рисуются первыми; более низкий уровень лишь ускоряет фоновую обработку. Применяется к новым превью, щелчок правой кнопкой по карточке перерисует её	Ekrandaki önizlemeler her zaman önce oluşturulur; daha düşük seviye yalnızca arka plan işlemini hızlandırır. Yeni önizlemelere uygulanır, yeniden oluşturmak için karta sağ tıklayın
list view: name, folder, tags	list view: name, folder, tags	列表视图：名称、文件夹、标签	清單檢視：名稱、資料夾、標籤	Listenansicht: Name, Ordner, Tags	Vue en liste : nom, dossier, tags	목록 보기: 이름, 폴더, 태그	リスト表示：名前、フォルダー、タグ	Vista de lista: nombre, carpeta y etiquetas	Visualização em lista: nome, pasta e tags	Вид списка: имя, папка, теги	Liste görünümü: ad, klasör, etiketler
tile view with the preview images (same search and filters)	tile view with the preview images (same search and filters)	带预览图的卡片视图（使用相同的搜索和筛选条件）	含預覽圖片的卡片檢視（使用相同的搜尋與篩選條件）	Kachelansicht mit Vorschaubildern (gleiche Suche und Filter)	Vue en vignettes avec aperçus (même recherche et filtres)	미리보기 이미지가 있는 카드 보기(같은 검색 및 필터)	プレビュー画像付きタイル表示（検索・フィルターは共通）	Vista de tarjetas con imágenes (misma búsqueda y filtros)	Visualização em cartões com prévias (mesma busca e filtros)	Карточки с изображениями (те же поиск и фильтры)	Önizleme görselli kart görünümü (aynı arama ve filtreler)
tile size	tile size	卡片大小	卡片大小	Kachelgröße	Taille des vignettes	타일 크기	タイルサイズ	Tamaño de tarjeta	Tamanho do cartão	Размер карточки	Kart boyutu
rendering...	rendering...	正在渲染...	正在算繪...	Wird gerendert...	Rendu en cours...	렌더링 중...	レンダリング中...	Renderizando...	Renderizando...	Рендеринг...	İşleniyor...
no preview	no preview	无预览图	無預覽圖	Keine Vorschau	Aucun aperçu	미리보기 없음	プレビューなし	Sin vista previa	Sem prévia	Нет предпросмотра	Önizleme yok
queued	queued	排队中	排隊中	In Warteschlange	En attente	대기 중	待機中	En cola	Na fila	В очереди	Sırada
preview generator is starting...	preview generator is starting...	预览生成器正在启动...	預覽產生器正在啟動...	Vorschaugenerator wird gestartet...	Le générateur d’aperçus démarre...	미리보기 생성기를 시작하는 중...	プレビュー生成を開始しています...	Iniciando el generador de vistas previas...	Iniciando o gerador de prévias...	Запуск генератора предпросмотра...	Önizleme oluşturucu başlatılıyor...
%d prefabs with %s	%d prefabs with %s	%d 个预制件，标签：%s	%d 個預製件，標籤：%s	%d Prefabs mit %s	%d prefabs avec %s	프리팹 %d개, 태그: %s	%d個のPrefab、タグ: %s	%d prefabs con %s	%d prefabs com %s	%d префабов, тег: %s	%d prefab, etiket: %s
PLACE	PLACE	放置	放置	PLATZIEREN	PLACER	배치	配置	COLOCAR	COLOCAR	РАЗМЕСТИТЬ	YERLEŞTİR
Place	Place	放置	放置	Platzieren	Placer	배치	配置	Colocar	Colocar	Разместить	Yerleştir
Grab	Grab	抓取	抓取	Greifen	Saisir	잡기	掴む	Agarrar	Pegar	Взять	Tut
spawn only	spawn only	直接生成	直接生成	Nur erzeugen	Apparition seule	바로 생성	そのまま生成	Solo generar	Apenas gerar	Только создать	Yalnızca oluştur
Spawn options: offset, yaw, scale, direction	Spawn options: offset, yaw, scale, direction	生成选项：偏移、偏航角、比例、方向	生成選項：偏移、偏航角、比例、方向	Spawn-Optionen: Versatz, Gierwinkel, Größe, Richtung	Options d’apparition : décalage, lacet, échelle, direction	생성 옵션: 오프셋, 요, 크기, 방향	生成オプション：オフセット、ヨー、スケール、向き	Opciones de generación: desplazamiento, giro, escala y dirección	Opções de geração: deslocamento, rotação, escala e direção	Параметры создания: смещение, угол, масштаб, направление	Oluşturma seçenekleri: ofset, yaw, ölçek, yön
offset fwd/up/side	offset fwd/up/side	偏移 前/上/侧	偏移 前/上/側	Versatz vor/hoch/seitlich	Décalage avant/haut/côté	오프셋 전방/위/측면	オフセット 前/上/横	Desplazamiento delante/arriba/lateral	Deslocamento frente/cima/lado	Смещение вперёд/вверх/вбок	Ofset ileri/yukarı/yan
yaw	yaw	偏航角	偏航角	Gierwinkel	Lacet	요	ヨー	Giro	Rotação	Рыскание	Yaw
scale	scale	比例	比例	Skalierung	Échelle	크기	スケール	Escala	Escala	Масштаб	Ölçek
off	off	关	關	Aus	Désactivé	끔	オフ	Desactivado	Desativado	Выкл.	Kapalı
on	on	开	開	Ein	Activé	켬	オン	Activado	Ativado	Вкл.	Açık
cancel	cancel	取消	取消	Abbrechen	Annuler	취소	キャンセル	cancelar	cancelar	отмена	iptal
put back	put back	放回原位	放回原位	Zurücklegen	Remettre	되돌리기	元に戻す	devolver	devolver	вернуть обратно	geri koy
cancels	cancels	取消	取消	bricht ab	annule	취소	キャンセル	cancela	cancela	отменяет	iptal eder
puts back	puts back	放回	放回	legt zurück	remet en place	되돌려 놓음	元に戻す	devuelve	devolve	возвращает	geri koyar
the game (camera)	the game (camera)	游戏（摄像机）	遊戲（攝影機）	das Spiel (Kamera)	le jeu (caméra)	게임(카메라)	ゲーム（カメラ）	el juego (cámara)	o jogo (câmera)	игра (камера)	oyun (kamera)
World Builder (gizmo)	World Builder (gizmo)	World Builder（操纵器）	World Builder（操縱器）	World Builder (Gizmo)	World Builder (gizmo)	World Builder(기즈모)	World Builder（ギズモ）	World Builder (manipulador)	World Builder (gizmo)	World Builder (гизма)	World Builder (gizmo)
Line	Line	直线	直線	Linie	Ligne	직선	直線	Línea	Linha	Линия	Çizgi
Circle	Circle	圆形	圓形	Kreis	Cercle	원형	円形	Círculo	Círculo	Круг	Daire
count	count	数量	數量	Anzahl	Quantité	개수	個数	Cantidad	Quantidade	Количество	Adet
spacing	spacing	间距	間距	Abstand	Espacement	간격	間隔	Espaciado	Espaçamento	Интервал	Aralık
radius	radius	半径	半徑	Radius	Rayon	반지름	半径	Radio	Raio	Радиус	Yarıçap
yaw as set	yaw as set	保持当前偏航角	保持目前偏航角	Gierwinkel beibehalten	Conserver le lacet	현재 요 유지	現在のヨーを維持	Mantener giro	Manter rotação	Сохранить угол	Yaw'ı koru
along the line	along the line	沿直线方向	沿直線方向	Entlang der Linie	Le long de la ligne	선을 따라	線に沿う	A lo largo de la línea	Ao longo da linha	Вдоль линии	Çizgi boyunca
across the line	across the line	垂直于直线	垂直於直線	Quer zur Linie	En travers de la ligne	선에 가로질러	線に対して横向き	A través de la línea	Atravessado à linha	Поперёк линии	Çizgiye çapraz
X to center	X to center	X轴朝向中心	X 軸朝向中心	X zur Mitte	X vers le centre	X축이 중심을 향함	X軸を中心へ	X hacia el centro	X voltado para o centro	Ось X к центру	X merkeze dönük
X outward	X outward	X轴朝外	X 軸朝外	X nach außen	X vers l’extérieur	X축이 바깥을 향함	X軸を外側へ	X hacia fuera	X voltado para fora	Ось X наружу	X dışa dönük
line	line	直线	直線	Linie	Ligne	직선	直線	línea	linha	линия	çizgi
circle	circle	圆形	圓形	Kreis	cercle	원형	円形	círculo	círculo	круг	daire
position	position	位置	位置	Position	Position	위치	位置	Posición	Posição	Позиция	Konum
tilt X (pitch)	tilt X (pitch)	X轴倾斜（俯仰）	X 軸傾斜（俯仰）	Neigung X (Nick)	Inclinaison X (tangage)	X 기울기(피치)	X傾斜（ピッチ）	Inclinación X (cabeceo)	Inclinação X (arfagem)	Наклон X (тангаж)	X eğimi (pitch)
tilt Z (roll)	tilt Z (roll)	Z轴倾斜（横滚）	Z 軸傾斜（橫滾）	Neigung Z (Rollen)	Inclinaison Z (roulis)	Z 기울기(롤)	Z傾斜（ロール）	Inclinación Z (alabeo)	Inclinação Z (rolagem)	Наклон Z (крен)	Z eğimi (roll)
level	level	水平对齐	水平對齊	Ausrichten	Mettre à niveau	수평 맞춤	水平にする	Nivelar	Nivelar	Выровнять	Düzle
To ground	To ground	贴合地面	貼合地面	Auf den Boden	Plaquer au sol	지면에 맞춤	地面に合わせる	Ajustar al suelo	Ajustar ao chão	На землю	Zemine hizala
Duplicate	Duplicate	复制	複製	Duplizieren	Dupliquer	복제	複製	Duplicar	Duplicar	Дублировать	Çoğalt
Group	Group	编组	群組	Gruppieren	Grouper	그룹	グループ化	Agrupar	Agrupar	Сгруппировать	Grupla
Ungroup	Ungroup	取消编组	取消群組	Gruppierung aufheben	Dissocier	그룹 해제	グループ解除	Desagrupar	Desagrupar	Разгруппировать	Grubu çöz
Delete	Delete	删除	刪除	Löschen	Supprimer	삭제	削除	Eliminar	Excluir	Удалить	Sil
Forget	Forget	从列表移除	從清單移除	Aus Liste entfernen	Retirer de la liste	목록에서 제거	リストから除外	Quitar de la lista	Remover da lista	Убрать из списка	Listeden kaldır
Remove duplicates	Remove duplicates	删除重复物体	移除重複物件	Duplikate entfernen	Supprimer les doublons	중복 제거	重複を削除	Eliminar duplicados	Remover duplicatas	Удалить дубликаты	Yinelenenleri kaldır
Cancel	Cancel	取消	取消	Abbrechen	Annuler	취소	キャンセル	Cancelar	Cancelar	Отмена	İptal
Apply	Apply	应用	套用	Anwenden	Appliquer	적용	適用	Aplicar	Aplicar	Применить	Uygula
Undo	Undo	撤销	復原	Rückgängig	Annuler	실행 취소	元に戻す	Deshacer	Desfazer	Отменить	Geri al
Redo	Redo	重做	重做	Wiederholen	Rétablir	다시 실행	やり直し	Rehacer	Refazer	Повторить	Yinele
snap to ground: not ready yet (walk a step first)	snap to ground: not ready yet (walk a step first)	地面吸附尚未就绪（先走一步）	地面吸附尚未就緒（先走一步）	Bodenausrichtung noch nicht bereit (gehe zuerst einen Schritt)	Alignement au sol indisponible (faites d’abord un pas)	지면 맞춤이 아직 준비되지 않았습니다(먼저 한 걸음 걸으세요)	地面スナップの準備ができていません（先に一歩歩いてください）	Ajuste al suelo aún no disponible (camina un paso primero)	Alinhamento ao chão ainda não está pronto (ande um passo antes)	Привязка к земле не готова (сначала пройдите шаг)	Zemine hizalama henüz hazır değil (önce bir adım yürüyün)
snap to ground: no surface found below	snap to ground: no surface found below	地面吸附失败：下方没有找到表面	地面吸附失敗：下方找不到表面	Kein Boden unter dem Objekt gefunden	Aucune surface détectée en dessous	아래에서 표면을 찾지 못했습니다	下に地面が見つかりません	No se encontró superficie debajo	Nenhuma superfície encontrada abaixo	Поверхность внизу не найдена	Altında yüzey bulunamadı
placement cancelled	placement cancelled	已取消放置	已取消放置	Platzierung abgebrochen	Placement annulé	배치 취소됨	配置をキャンセルしました	Colocación cancelada	Posicionamento cancelado	Размещение отменено	Yerleştirme iptal edildi
placed %s	placed %s	已放置 %s	已放置 %s	%s platziert	%s placé	%s 배치함	%sを配置	%s colocado	%s colocado	Размещено: %s	%s yerleştirildi
dropped %s	dropped %s	已放下 %s	已放下 %s	%s abgelegt	%s déposé	%s 놓음	%sを置いた	%s soltado	%s solto	Опущено: %s	%s bırakıldı
placing	placing	正在放置	正在放置	Wird platziert	Placement en cours	배치 중	配置中	Colocando	Colocando	Размещение	Yerleştiriliyor
grabbed	grabbed	已抓取	已抓取	Aufgenommen	Saisi	잡음	掴んだ	Agarrado	Pegado	Взято	Tutuldu
%s: %s | %d objects | %s = done, %s %s	%s: %s | %d objects | %s = done, %s %s	%s：%s | %d 个物体 | %s = 完成，%s %s	%s：%s | %d 個物件 | %s = 完成，%s %s	%s: %s | %d Objekte | %s = fertig, %s %s	%s : %s | %d objets | %s = terminer, %s %s	%s: %s | 오브젝트 %d개 | 완료: %s, %s %s	%s：%s | オブジェクト%d個 | 完了 %s、%s %s	%s: %s | %d objetos | %s = listo, %s %s	%s: %s | %d objetos | %s = concluir, %s %s	%s: %s | объектов: %d | завершить: %s, %s %s	%s: %s | %d nesne | tamam: %s, %s %s
%s is already in your hands: %s drops it, %s cancels	%s is already in your hands: %s drops it, %s cancels	%s 已在手中：按 %s 放下，按 %s 取消	%s 已在手中：按 %s 放下，按 %s 取消	%s ist bereits in deiner Hand: Mit %s ablegen, mit %s abbrechen	%s est déjà en main : %s pour le déposer, %s pour annuler	%s이(가) 이미 손에 있습니다. %s를 눌러 놓고, %s를 눌러 취소하세요	%sはすでに手元にあります。%sで配置、%sでキャンセル	%s ya está en tus manos: pulsa %s para soltarlo o %s para cancelar	%s já está nas mãos: pressione %s para soltar ou %s para cancelar	%s уже в руках: нажмите %s, чтобы опустить, или %s для отмены	%s zaten elinizde: bırakmak için %s, iptal etmek için %s
grouped	grouped	已编组	已群組	Gruppiert	Groupé	그룹화함	グループ化しました	Agrupado	Agrupado	Сгруппировано	Gruplandı
ungrouped	ungrouped	已取消编组	已取消群組	Gruppierung aufgehoben	Dissocié	그룹 해제함	グループ解除しました	Desagrupado	Desagrupado	Разгруппировано	Grup çözüldü
%d objects	%d objects	%d 个物体	%d 個物件	%d Objekte	%d objets	오브젝트 %d개	オブジェクト%d個	%d objetos	%d objetos	Объектов: %d	%d nesne
deleted %d objects	deleted %d objects	已删除 %d 个物体	已刪除 %d 個物件	%d Objekte gelöscht	%d objets supprimés	오브젝트 %d개 삭제됨	オブジェクト%d個を削除	%d objetos eliminados	%d objetos excluídos	Удалено объектов: %d	%d nesne silindi
copied %d objects	copied %d objects	已复制 %d 个物体	已複製 %d 個物件	%d Objekte kopiert	%d objets copiés	오브젝트 %d개 복사됨	オブジェクト%d個をコピー	%d objetos copiados	%d objetos copiados	Скопировано объектов: %d	%d nesne kopyalandı
